date,r_f
2008-02,0.0017091158540738505
2008-03,0.0010255246921277994
2008-04,0.001042338889758021
2008-05,0.001609372677043197
2008-06,0.0014011623892815628
2008-07,0.0013095822642461563
2008-08,0.0013762569685482617
2008-09,0.0007994553322774323
2008-10,0.00021100673881968568
2008-11,2.534405881049473e-05
2008-12,2.5344069369381828e-05
2009-01,0.00014775089058538526
2009-02,0.00014353242833475832
2009-03,0.0001266557662613632
2009-04,2.9567453638579266e-05
2009-05,6.75700291639103e-05
2009-06,0.00012032679093088028
2009-07,0.00010766839939813089
2009-08,7.812347117419627e-05
2009-09,3.5902237706331164e-05
2009-10,8.448721366960399e-06
2009-11,6.123707013916402e-05
2009-12,3.167908517798246e-05
2010-01,1.2672817544467918e-05
2010-02,6.123725507456435e-05
2010-03,0.0001118887681221814
2010-04,0.00011821796233979498
2010-05,0.00011399826910563071
2010-06,0.00013509557645585701
2010-07,0.00011821796233979498
2010-08,0.0001266557662613632
2010-09,0.00011188856232036137
2010-10,0.00010555835485925869
2010-11,0.00014142181612863958
2010-12,6.75700291639103e-05
2011-01,0.00012454640737158407
2011-02,6.545893718090667e-05
2011-03,4.857055677032207e-05
2011-04,1.2672817544467918e-05
2011-05,3.590211057358239e-05
2011-06,6.336607814683148e-06
2011-07,7.390240702531692e-05
2011-08,0.0
2011-09,1.2672817544467918e-05
2011-10,4.224447977430046e-06
2011-11,0.0
2011-12,0.0
2012-01,3.167900269240853e-05
2012-02,4.434798462793488e-05
2012-03,2.9567439267408346e-05
2012-04,6.334802589447186e-05
2012-05,2.3232295518038626e-05
2012-06,2.9567439267408346e-05
2012-07,5.0681582035805306e-05
2012-08,6.545914849542811e-05
2012-09,3.379065403374959e-05
2012-10,7.812397283113448e-05
2012-11,0.00010133762736153074
2012-12,2.112045897217918e-05
2013-01,5.0681793160034516e-05
2013-02,4.012517221818612e-05
2013-03,3.379067280340209e-05
2013-04,1.2672806984248552e-05
2013-05,1.267282018457827e-05
2013-06,8.448721366960399e-06
2013-07,8.448723713527784e-06
2013-08,8.448721366960399e-06
2013-09,1.689672332716441e-05
2013-10,2.9567453638579266e-05
2013-11,2.1120480970360234e-05
2013-12,1.2672806984248552e-05
2014-01,4.2236554884222954e-05
2014-02,2.534404825205172e-05
2014-03,1.4784788733956944e-05
2014-04,8.448723713527784e-06
2014-05,1.9008631225059247e-05
2014-06,1.2672809624358905e-05
2014-07,4.224449150935783e-06
2014-08,4.224448857392815e-06
2014-09,1.2672806984248552e-05
2014-10,2.1122464732847845e-06
2014-11,4.224449150935783e-06
2014-12,8.448723713527784e-06
2015-01,-1.6899559241001505e-05
2015-02,-4.224625222093437e-06
2015-03,2.956738178294671e-05
2015-04,-4.2246249287725135e-06
2015-05,2.1122464732847845e-06
2015-06,-3.802807319119861e-05
2015-07,2.534404825205172e-05
2015-08,-6.337005955425745e-06
2015-09,-2.323760392308749e-05
2015-10,2.1120480970360234e-05
2015-11,0.00010133762736153074
2015-12,5.7015238965174575e-05
2016-01,0.00018992584739030427
2016-02,0.00018570744142376583
2016-03,6.33482897685056e-05
2016-04,0.00010977839995085503
2016-05,0.00018992347541457733
2016-06,0.0001751671155036938
2016-07,0.00015196917704662916
2016-08,0.0001983600244042094
2016-09,0.00015618728773514334
2016-10,0.00013509407633094384
2016-11,0.000253157465180065
2016-12,0.00034161039150171213
2017-01,0.00039211134654815183
2017-02,0.0003567579865932924
2017-03,0.0005729128938076755
2017-04,0.0005603100013771289
2017-05,0.0006233215713400408
2017-06,0.0007114413646982509
2017-07,0.0008078474755517373
2017-08,0.0009209868788750963
2017-09,0.00079530596229338
2017-10,0.0008329767697996537
2017-11,0.0009146795218060166
2017-12,0.001025576579160914
2018-01,0.0011196689564074713
2018-02,0.0009875146247100286
2018-03,0.001347109684244563
2018-04,0.0013636617528240969
2018-05,0.0014533623577945853
2018-06,0.0014699838512746144
2018-07,0.0015821773238005044
2018-08,0.001621845931139898
2018-09,0.0017215768687244282
2018-10,0.0017964170511071131
2018-11,0.0018626379345150212
2018-12,0.0018625237983644904
2019-01,0.0019414078820045866
2019-02,0.0019994097318982718
2019-03,0.001995202352930159
2019-04,0.0019867887328091083
2019-05,0.001937201885038986
2019-06,0.001677864009170138
2019-07,0.0018585472717267404
2019-08,0.0017214793686528562
2019-09,0.0014886095009136735
2019-10,0.001255299734206572
2019-11,0.0013491043253459623
2019-12,0.0011717503855219746
2020-01,0.0012907311635390606
2020-02,0.0011968462876328356
2020-03,3.379572443229506e-06
2020-04,6.123719342920886e-05
2020-05,0.00010555798851563658
2020-06,9.71171166057605e-05
2020-07,7.6012921638835e-05
2020-08,7.601282665614661e-05
2020-09,7.179165842696733e-05
2020-10,6.334809186259172e-05
2020-11,5.912606991320679e-05
2020-12,4.2236525559014026e-05
2021-01,4.43478553058263e-05
2021-02,2.534402713449957e-05
2021-03,1.2672817544467918e-05
2021-04,4.224448270750969e-06
2021-05,4.224448270750969e-06
2021-06,2.9567439267408346e-05
2021-07,4.6459170037316255e-05
2021-08,3.3790578955139594e-05
2021-09,3.801364505839899e-05
2021-10,4.22364962338051e-05
2021-11,6.75697289469479e-05
2021-12,4.22364962338051e-05
2022-01,2.956739615411763e-05
2022-02,5.912606991320679e-05
2022-03,3.3790635264319135e-05
2022-04,0.0002910713340271709
2022-05,0.0005728913079934284
2022-06,0.0009293309916522663
2022-07,0.0017879046442697
2022-08,0.0019414698886486281
2022-09,0.0022433992076120735
2022-10,0.0028364641799158985
2022-11,0.0032611690021553397
2022-12,0.0032669540255176877
2023-01,0.003662462132730804
2023-02,0.003609499080607481
2023-03,0.0038074274928334706
2023-04,0.003410000998974372
2023-05,0.0040378253956838694
2023-06,0.004203302491333938
2023-07,0.004336632198328916
2023-08,0.004357487640681557
2023-09,0.004365267064303069
2023-10,0.004368684216773833
2023-11,0.004349393739145668
2023-12,0.004377403997652074
2024-01,0.004321367538386411
2024-02,0.004381765488413958
2024-03,0.004365580899328592
2024-04,0.0043605947727596295
2024-05,0.004359198053561997
2024-06,0.004361221097448409
2024-07,0.004357800372231102
2024-08,0.004278243226056633
2024-09,0.003748059145153526
2024-10,0.003676713760067285
2024-11,0.0034102561062527847
2024-12,0.003277558205835751
